Day,Date,Stop Name,Current Category in App,REAL Classification,Time at Stop,What to Actually Do There,Notes for Mom
,,,,,,
=== DAY 2 — ARCHES NATIONAL PARK ===,,,,,,
2,May 6,La Sal Mountains Viewpoint,Park Sight 👀,DRIVE-BY — look from car window,0 min,Look east while driving on the main Arches park road. No need to stop or park.,"The La Sal Mountains are always visible to the east. This is NOT a separate destination — it's just a view reminder while driving. Mom may have listed this as a stop but it is just scenery from the car."
2,May 6,Courthouse Towers Viewpoint,Park Sight 👀,QUICK PULLOUT — park + walk to edge,5–10 min,Pull into the roadside pullout. Look at the towers. Take photos. Return to car.,"Different from Park Avenue Trail (which is a real hike nearby). The viewpoint is just the roadside look at the towers — interesting but brief. The actual hike is Park Avenue."
2,May 6,Park Avenue Trail,Park Sight 🥾,REAL STOP — hike,60–90 min,2-mile one-way trail through a canyon of sandstone fins (like walking between skyscrapers). Flat and easy walk.,One of the best easy hikes in Arches. Highly recommended.
2,May 6,Balanced Rock,Park Sight 🪨,REAL STOP — short walk,20–30 min,0.3 mile paved loop around a giant balancing rock. Short but worthwhile.,Family-friendly. Good photo stop.
2,May 6,Fiery Furnace Viewpoint,Park Sight 👀,QUICK PULLOUT — preview of tomorrow's hike,10–15 min,Walk to the viewpoint fence. Look into the Fiery Furnace maze from above — this is the preview.,"Self-guided permit is BOOKED for the next morning (Rec.gov #0816993222-1, May 7, 8:00 AM, 2 adults — see Day 3 row). The viewpoint shows only the tops of the fins; tomorrow she walks INTO the maze."
2,May 6,Turret Arch,Park Sight 🌉,REAL STOP — short walk,20–30 min,Short 0.5mi walk from Windows parking area to Turret Arch. Worth it.,Easy flat walk on sandy trail.
2,May 6,Windows Primitive Loop Trail,Park Sight 🥾,REAL STOP — hike,45–60 min,1.6mi primitive (sandy) loop behind The Windows formations. One of the best walks in Arches.,Do this loop for a different perspective than the paved Windows trail. Gets you closer to the rock.
2,May 6,Double Arch,Park Sight 🌉,REAL STOP — short walk,20–30 min,0.4mi walk from Windows parking area. Two arches joined at a common base — dramatic to walk under.,Easy walk. The arch above your head is enormous.
2,May 6,Delicate Arch Trail,Park Sight 🌉,REAL STOP — strenuous hike,2.5–3 hours,3.2mi round trip with 480ft elevation gain on slickrock. Arrives at the iconic freestanding arch.,"The most famous arch in the world. Strenuous. Plan for early morning (before 9am in May to avoid heat). Bring plenty of water."
2,May 6,Fiery Furnace Viewpoint,Park Sight 👀,QUICK PULLOUT,10 min,Roadside look into the formation maze.,See note above — entry requires separate permit.
2,May 6,Sand Dune Arch,Park Sight 🌉,REAL STOP — short walk,20 min,Short 0.4mi walk through sand to a small sheltered arch. Cool and shaded.,Easy family stop. Kids love the sand.
2,May 6,Broken Arch,Park Sight 🌉,REAL STOP — short walk,20–30 min,0.4mi walk across slickrock to a large arch.,Near Sand Dune Arch — often combined in one stop.
2,May 6,Skyline Arch,Park Sight 🌉,QUICK PULLOUT — see from road,5 min,Visible from the road near Devils Garden. Can park briefly and look or just see it while driving.,In 1940 a rockfall doubled the size of this arch overnight.
2,May 6,Devils Garden Trailhead,Park Sight 🥾,REAL STOP — long hike,2–4+ hours,Trailhead for the full Devils Garden trail system including Landscape Arch. Trail continues to Double O Arch and Private Arch for those going deeper.,Most visited trailhead in Arches. Start here for the entire Landscape Arch → Double O loop.
,,,,,,
=== DAY 3 — CANYONLANDS (Island in the Sky) + FIERY FURNACE ===,,,,,,
3,May 7,Self-Guided Fiery Furnace Exploration,Park Sight 🥾,REAL STOP — strenuous self-guided hike,3–3.5 hours,"Drive into Arches NP (park pass from yesterday). Park at Fiery Furnace lot. Show Recreation.gov ticket #0816993222-1 (8:00 AM start, 2 adults). Route-find through a maze of sandstone fins on slickrock. No marked trail — narrow squeezes, small jumps, ledges. ~2 mi but takes much longer than the distance suggests.","This is the strenuous hike mom INSISTED on adding. Take a screenshot of the Rec.gov ticket before driving in (no cell at TH). Bring water, snacks, grippy shoes. Plan a full 3.5 hours. Returning to Arches the morning after Day 2 — confirm timed-entry rules at the gate; the permit may cover entry, but bring the screenshot in case."
3,May 7,Dead Horse Point State Park Utah,Park Sight 👀,REAL STOP — destination overlook,60 min (trimmed from 45–90),"Drive 5mi paved road to the point. Walk to canyon rim overlook. The Colorado River makes a horseshoe bend 2000 feet below — one of the most jaw-dropping views in Utah. Quick lunch from the cooler on a bench at the rim.","Trimmed to 60 min so the post-Fiery-Furnace day still fits. Separate entrance fee ($20). Well worth it."
3,May 7,Shafer Canyon Overlook,Park Sight 🏜️,QUICK PULLOUT — park + look,10–15 min,Pull into the parking area. Walk to the rim. Look down at the Shafer Trail switchbacks. Return to car.,Good introduction to Canyonlands scale. Brief stop on the way into Island in the Sky.
3,May 7,Gooseneck Overlook Utah,Park Sight 👀,QUICK PULLOUT — park + look,10–15 min,Short walk from car to the overlook of the Colorado River gooseneck bend. Brief stop.,Interesting geology — river bends 270 degrees in a tight loop.
3,May 7,Upheaval Dome Utah,Park Sight 🪨,REAL STOP — short hike,30–60 min,0.5mi to First Overlook of a mysterious crater formation. Optional 1.8mi round trip to Second Overlook.,"Scientists debate whether this is a salt dome or a meteor impact crater. Either way — visually striking and scientifically fascinating. Short but worthwhile hike."
3,May 7,Island In The Sky Mesa Arch,Park Sight 🌉,REAL STOP — short walk,20–30 min,0.5mi loop to a sandstone arch framing the canyon 1000ft below. One of the most photographed spots in Canyonlands.,"Best at sunrise (golden light glows through the arch). Even midday it is dramatic."
3,May 7,Green River Overlook Utah,Park Sight 👀,QUICK PULLOUT — park + look,15 min,Short paved path from parking to the canyon rim overlook.,Good photography stop. Brief.
3,May 7,Murphy Point Utah,Park Sight 👀,SHORT WALK — park + walk to point,20–30 min,Short walk out to the point for panoramic views. Slightly more than a pullout — a bit of a walk required.,Worth the 20 minutes if time allows.
3,May 7,Buck Canyon Overlook Utah,Park Sight 🏜️,QUICK PULLOUT — park + look,10 min,Roadside overlook along the park road. Brief stop.,Easy photo stop en route to Grand View Point.
3,May 7,White Rim Overlook,Park Sight 👀,QUICK PULLOUT — park + look,10 min,Pull off and look at the famous White Rim road far below.,The White Rim Road is a 100mi 4WD route — visible from above here.
3,May 7,Grand View Point Utah,Park Sight 👀,REAL STOP — end of the road,30–60 min,"This is the END OF THE MAIN ROAD in Island in the Sky. Walk the 2mi rim trail for the best panoramic views of the entire district. Not optional — this is the highlight.","The trail along the canyon rim at Grand View is one of the best walks in Canyonlands. Do not skip. Stunning in all directions."
,,,,,,
=== DAY 4 — NEEDLES DISTRICT ===,,,,,,
4,May 8,Pot Hole Point Utah,Park Sight 👀,SHORT WALK — walk on the rock,20–30 min,0.6mi loop across slickrock with potholes (small carved basins that fill with rain). Walk on the rock itself — not just look at it.,"More than a viewpoint — actually a walk on slickrock. Interesting geology. Good for photography when potholes have water."
4,May 8,Big Spring Canyon Overlook,Park Sight 🏜️,QUICK PULLOUT — park + look,10 min,Roadside overlook at the end of a short spur road.,Brief stop before Elephant Hill.
4,May 8,Elephant Hill Utah,Park Sight ⛰️,REAL STOP — trailhead area,30–60 min,Trailhead for backcountry hiking into Needles. Walk around the slickrock base area. Views of the spires.,"The Needles spires (alternating red and white) are spectacular. If time allows — take the short trail toward the spires from the trailhead."
4,May 8,Chesler Park Utah,Park Sight 📍,REAL STOP — significant hike,3–5 hours (full loop),6-mile loop through a hidden grass meadow surrounded by the Needles rock formations.,"One of the best hikes in Canyonlands. If she does this — it is a FULL morning/afternoon activity. Not a quick stop."
,,,,,,
=== DAY 5 — BENTONITE HILLS / FACTORY BUTTE AREA ===,,,,,,
5,May 9,Factory Bute Road,Park Sight 📍,DRIVE-BY SCENIC AREA — drive slowly,20–40 min driving,"Drive slowly along Coal Mine Road. Factory Butte (a large flat-topped mesa) is visible to the west. The surrounding badlands are dramatic. No specific parking spot — the whole drive is the attraction.","Mom wrote 'Drive on Coal Mine Road and stops to small walks' — this is correct. Pull over when safe. Take photos of the moonscape. This is NOT a GPS destination — the whole area is the experience."
5,May 9,Skyline Rim Moonscape Overlook Utah,Park Sight 👀,QUICK PULLOUT — park + look,10–15 min,Pullout on Hwy 24 with dramatic views over the clay badlands to the south.,Brief stop. Good photography.
5,May 9,South of Hanksville,Park Sight 📍,DRIVE-BY SCENIC VIEW — scenery while driving,0 min,"NOT a real place with a GPS address. This refers to the dramatic scenery VISIBLE WHILE DRIVING south of Hanksville on Hwy 24 — the Caineville Wash badlands and moonscape terrain.","Mom read about the views south of Hanksville — she is correct that this area is stunning. But there is no specific stop needed. Just drive Hwy 24 between Hanksville and Caineville and enjoy the view out the window."
,,,,,,
=== DAY 6 — GOBLIN VALLEY ===,,,,,,
6,May 10,Temple Mountains Road,Park Sight ⛰️,DRIVE-BY SCENIC ROAD — drive through,20 min driving,"Drive through the Temple Mountain area. Interesting sandstone buttes visible from the road. Not a hiking stop — a scenic drive-through on the way to Goblin Valley.",Brief scenic connector drive.
6,May 10,Valley Of The Goblins Hoodoos Loop,Park Sight 🥾,REAL STOP — exploration hike,1.5–3 hours,"The main goblin basin. Walk freely among hundreds of oddly shaped sandstone hoodoos. No marked trail — just wander. Surreal landscape.","The entire basin is open for wandering. She can spend as long as she wants. Morning or evening light is magical. Hard to describe — it looks like Mars."
6,May 10,Three Sisters Goblin Valley,Park Sight 📍,REAL STOP — short walk,20–30 min,Three distinctive larger goblin formations near the main basin. Short walk to see them up close.,Named landmark within Goblin Valley.
6,May 10,Goblin's Lair,Park Sight 📍,REAL STOP — exploration,30–45 min,A pit/grotto with goblin formations you can scramble into. More adventurous than the main basin walk.,Some scrambling required to descend. Bring water. Cooler inside the pit.
,,,,,,
=== DAY 8 — CAPITOL REEF ===,,,,,,
8,May 12,Sunset Point Capitol Reef,Park Sight 👀,QUICK PULLOUT — viewpoint,10–20 min,Overlook in Capitol Reef for sunset photography.,"Good for golden hour. Brief stop — not a hiking destination in itself."
,,,,,,
=== DAY 11 — MULEY TWIST / ESCALANTE ===,,,,,,
11,May 15,Strike Valley Overlook Utah,Park Sight 👀,QUICK PULLOUT — park + look,15 min,Overlook of Strike Valley and the Waterpocket Fold from above. Short walk from parking.,Brief stop on the Notom-Bullfrog Road — good view of the fold geology.
,,,,,,
=== DAY 17 — BRYCE CANYON SCENIC DRIVE ===,,,,,,
17,May 21,Rainbow Point,Park Sight 👀,REAL STOP — highest point in park,30–45 min,Highest elevation in Bryce Canyon (9115 ft). End of the scenic drive. Short walks available. Views south to Grand Canyon on a clear day.,Worth meaningful time. It is the end of the road.
17,May 21,Yovimpa Point,Park Sight 👀,ADD-ON to Rainbow Point,10 min,Adjacent to Rainbow Point — combine both in one stop. Different view angle.,Visit together with Rainbow Point.
17,May 21,Agua Canyon,Park Sight 🏜️,REAL STOP — overlook with hoodoos,20–30 min,One of the best views in all of Bryce Canyon — two large hoodoos (The Hunter and The Rabbit) visible below.,Drive from Rainbow Point north — one of the most dramatic overlooks in the park.
17,May 21,Natural Bridge Bryce Canyon,Park Sight 🌉,QUICK PULLOUT — park + look,10 min,A natural arch visible from the roadside pullout. Brief stop.,Brief — good photo from the overlook.
17,May 21,Bryce Point,Park Sight 👀,REAL STOP — spectacular viewpoint,30–45 min,Arguably the single best viewpoint in Bryce Canyon. Horseshoe-shaped amphitheater full of hoodoos below. Walk the rim.,Do not skip this. One of the best views in Utah.
,,,,,,
=== DAY 18 — BRYCE CANYON HIKING ===,,,,,,
18,May 22,Sunset Point Bryce Canyon,Park Sight 🏜️,REAL STOP — viewpoint + trail start,30 min + hike time,Viewpoint into the amphitheater AND the starting point for Queen's Garden and Navajo Loop trails.,Start here for the day's hiking. Spectacular view even before descending.
18,May 22,Inspiration Point Bryce Canyon,Park Sight 🏜️,QUICK PULLOUT — park + look,15–20 min,Additional amphitheater viewpoint. Good views but similar angle to Bryce Point.,Good stop if time allows — not as spectacular as Bryce Point or Sunset Point.
,,,,,,
=== DAYS 19–20 — ZION (CURRENTLY EMPTY — NEEDS STOPS ADDED) ===,,,,,,
19,May 23,Zion N/P Visitor Center,Park Sight 🏛️,TRANSIT STOP — pick up map and park pass,15–20 min,"Stop to pick up the park map, talk to rangers, get orientation. Then take the shuttle into the canyon.",This is just the entry point. The entire rest of the day is unplanned — see Recommendations sheet for what to add.
20,May 24,Zion N/P Visitor Center,Park Sight 🏛️,TRANSIT STOP — shuttle hub,10 min,Pick up shuttle here to access all canyon trails.,Same as Day 19 — this is just the starting point. Day 20 content is completely unplanned.
